,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,label
0,0.7636363636363637,0.4727272727272727,0.7363636363636363,0.6060606060606061,0.6848484848484848,0.5787878787878787,0.7090909090909091,0.5787878787878787,0.7090909090909091,0.5515151515151515,0.7636363636363637,0.6303030303030303,0.8424242424242424,0.6303030303030303,0.9212121212121213,0.6303030303030303,0.5787878787878787,0.7636363636363637,0.7363636363636363,0.8151515151515152,0.6575757575757576,1.0,0.6303030303030303,0.7636363636363637,0.7363636363636363,0.8151515151515152,0.6575757575757576,0.9484848484848485,0.6575757575757576,0.6848484848484848,0.0
3,0.7878787878787878,0.5,0.7090909090909091,0.6303030303030303,0.6575757575757576,0.6575757575757576,0.6060606060606061,0.7363636363636363,0.5515151515151515,0.7636363636363637,0.7363636363636363,0.6303030303030303,0.8424242424242424,0.6575757575757576,0.9212121212121213,0.6575757575757576,0.5787878787878787,0.7636363636363637,0.7363636363636363,0.8151515151515152,0.6575757575757576,1.0,0.6303030303030303,0.7636363636363637,0.7363636363636363,0.8151515151515152,0.6575757575757576,0.9484848484848485,0.6575757575757576,0.7090909090909091,0.0
6,0.44545454545454544,0.18181818181818182,0.44545454545454544,0.3424242424242424,0.5,0.3939393939393939,0.4212121212121212,0.5,0.3424242424242424,0.4212121212121212,0.4212121212121212,0.4212121212121212,0.2878787878787879,0.5515151515151515,0.3151515151515151,0.44545454545454544,0.6848484848484848,0.6575757575757576,0.4727272727272727,0.7878787878787878,0.5242424242424243,1.0,0.6303030303030303,0.6575757575757576,0.3939393939393939,0.7636363636363637,0.5,1.0,0.5515151515151515,0.5242424242424243,0.0
8,0.7878787878787878,0.5515151515151515,0.7363636363636363,0.6575757575757576,0.7363636363636363,0.6848484848484848,0.8424242424242424,0.7090909090909091,0.9212121212121213,0.6848484848484848,0.7090909090909091,0.6575757575757576,0.8424242424242424,0.7090909090909091,0.9212121212121213,0.6848484848484848,0.5787878787878787,0.8151515151515152,0.7363636363636363,0.8424242424242424,0.6575757575757576,1.0,0.6060606060606061,0.7878787878787878,0.7090909090909091,0.8424242424242424,0.7090909090909091,0.9212121212121213,0.6575757575757576,0.7363636363636363,1.0
9,0.8151515151515152,0.6060606060606061,0.7363636363636363,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.8151515151515152,0.7636363636363637,0.9212121212121213,0.7636363636363637,0.7090909090909091,0.6848484848484848,0.8151515151515152,0.7363636363636363,0.9212121212121213,0.7363636363636363,0.5787878787878787,0.8424242424242424,0.7090909090909091,0.8424242424242424,0.6575757575757576,1.0,0.5787878787878787,0.8424242424242424,0.7090909090909091,0.8151515151515152,0.6848484848484848,0.9212121212121213,0.6575757575757576,0.7636363636363637,1.0
10,0.6512968299711815,0.3746397694524496,0.5994236311239193,0.5244956772334294,0.5994236311239193,0.5763688760806917,0.7262247838616714,0.7262247838616714,0.8501440922190202,0.8011527377521613,0.5994236311239193,0.5504322766570605,0.7002881844380403,0.7002881844380403,0.8011527377521613,0.7752161383285303,0.42363112391930835,0.8011527377521613,0.6512968299711815,0.8011527377521613,0.5504322766570605,1.0,0.4755043227665706,0.7752161383285303,0.6512968299711815,0.7492795389048992,0.5504322766570605,0.9510086455331412,0.5244956772334294,0.6743515850144092,1.0
11,0.8151515151515152,0.6060606060606061,0.7363636363636363,0.6848484848484848,0.7363636363636363,0.7090909090909091,0.8424242424242424,0.7363636363636363,0.9212121212121213,0.7363636363636363,0.7363636363636363,0.6848484848484848,0.8424242424242424,0.7363636363636363,0.9212121212121213,0.7363636363636363,0.5787878787878787,0.8424242424242424,0.7363636363636363,0.8151515151515152,0.6575757575757576,1.0,0.5787878787878787,0.8151515151515152,0.6848484848484848,0.8939393939393939,0.6848484848484848,0.9212121212121213,0.6575757575757576,0.7636363636363637,1.0
14,0.3834808259587021,0.28023598820059,0.4336283185840708,0.41002949852507375,0.48672566371681414,0.4336283185840708,0.41002949852507375,0.5103244837758112,0.35693215339233036,0.48672566371681414,0.41002949852507375,0.46017699115044247,0.28023598820059,0.5899705014749262,0.2536873156342183,0.48672566371681414,0.6902654867256637,0.7168141592920354,0.48672566371681414,0.7433628318584071,0.5368731563421829,1.0,0.6902654867256637,0.7168141592920354,0.41002949852507375,0.7168141592920354,0.46017699115044247,1.0,0.5634218289085545,0.5899705014749262,1.0
16,0.3651685393258427,0.3904494382022472,0.46348314606741575,0.5112359550561798,0.5112359550561798,0.4859550561797753,0.3398876404494382,0.5842696629213483,0.21910112359550563,0.5842696629213483,0.46348314606741575,0.5365168539325843,0.31741573033707865,0.6348314606741573,0.19382022471910113,0.6095505617977528,0.6825842696629213,0.7556179775280899,0.46348314606741575,0.7303370786516854,0.6095505617977528,0.952247191011236,0.7303370786516854,0.7556179775280899,0.46348314606741575,0.8286516853932584,0.5842696629213483,1.0,0.5842696629213483,0.6348314606741573,1.0
17,0.3746397694524496,0.14985590778097982,0.42363112391930835,0.29971181556195964,0.4755043227665706,0.34870317002881845,0.40057636887608067,0.4755043227665706,0.3256484149855908,0.49855907780979825,0.40057636887608067,0.3746397694524496,0.29971181556195964,0.5244956772334294,0.22478386167146974,0.4495677233429395,0.6253602305475504,0.6512968299711815,0.4755043227665706,0.7262247838616714,0.49855907780979825,1.0,0.5763688760806917,0.5994236311239193,0.40057636887608067,0.7002881844380403,0.49855907780979825,0.9769452449567724,0.5244956772334294,0.4755043227665706,0.0
